number,zip,"lat,long",city,pop
169,37213,"36.166795, -86.766631","Nashville, Tennessee",137
170,37618,"36.464478, -82.211253","Bluff City, Tennessee","12,405"
171,37330,"35.288092, -86.125985","Estill Springs, Tennessee","6,631"
172,37331,"35.324033, -84.528837","Etowah, Tennessee","7,959"
173,37377,"35.199511, -85.348092","Signal Mountain, Tennessee","14,754"
174,37659,"36.275517, -82.498693","Jonesborough, Tennessee","22,438"
175,37730,"36.550319, -83.973383","Eagan, Tennessee",68
176,37748,"35.945651, -84.516338","Harriman, Tennessee","18,283"
177,38024,"36.039610, -89.383342","Dyersburg, Tennessee","28,213"
178,38401,"35.626371, -87.024484","Columbia, Tennessee","50,655"
179,37890,"36.085282, -83.298857","White Pine, Tennessee","5,762"
180,37303,"35.434130, -84.646612","Athens, Tennessee","23,726"
181,37821,"35.975170, -83.195566","Newport, Tennessee","21,705"
182,37774,"35.728603, -84.356131","Loudon, Tennessee","14,549"
183,37694,"36.381153, -82.273310","Watauga, Tennessee","1,435"
184,37347,"35.065845, -85.621664","Jasper, Tennessee","7,590"
185,38053,"35.365242, -89.948330","Millington, Tennessee","28,039"
186,37806,"36.084693, -83.727986","Mascot, Tennessee","2,818"
187,37732,"36.324760, -84.610481","Elgin, Tennessee",229
188,37082,"36.087432, -87.120400","Kingston Springs, Tennessee","5,811"
189,37302,"35.004854, -85.009676","Apison, Tennessee","2,503"
190,37419,"35.031519, -85.392888","Chattanooga, Tennessee","5,498"
191,37763,"35.821331, -84.497600","Kingston, Tennessee","14,572"
192,37080,"36.326612, -86.919550","Joelton, Tennessee","7,394"
193,38002,"35.292085, -89.702262","Arlington, Tennessee","17,709"
194,37708,"36.329769, -83.365245","Bean Station, Tennessee","6,427"
195,37860,"36.245936, -83.183526","Russellville, Tennessee","3,191"
196,37146,"36.404175, -87.035720","Pleasant View, Tennessee","4,175"
197,37321,"35.506607, -85.005429","Dayton, Tennessee","16,141"
198,37745,"36.278033, -82.820602","Greeneville, Tennessee","16,596"
199,37766,"36.399393, -84.065663","La Follette, Tennessee","18,080"
200,38358,"35.922616, -88.756088","Milan, Tennessee","12,005"
201,37172,"36.548385, -86.849451","Springfield, Tennessee","25,094"
202,38506,"36.186907, -85.422641","Cookeville, Tennessee","22,542"
203,37725,"35.996106, -83.399349","Dandridge, Tennessee","12,695"
204,38011,"35.463950, -89.718089","Brighton, Tennessee","8,278"
205,37062,"35.990900, -87.135993","Fairview, Tennessee","9,162"
206,37318,"35.177111, -85.974623","Cowan, Tennessee","1,851"
207,37724,"36.550819, -83.706353","Cumberland Gap, Tennessee","3,112"
208,37135,"35.911586, -86.678895","Nolensville, Tennessee","4,236"
209,37874,"35.596056, -84.457013","Sweetwater, Tennessee","13,141"
210,37048,"36.493057, -86.596530","Cottontown, Tennessee","5,156"
211,37189,"36.278598, -86.831464","Whites Creek, Tennessee","2,343"
212,37148,"36.566636, -86.495247","Portland, Tennessee","17,217"
213,37690,"36.248246, -82.560777","Telford, Tennessee","3,020"
214,37354,"35.494715, -84.355914","Madisonville, Tennessee","14,034"
215,37754,"36.128998, -84.034589","Heiskell, Tennessee","4,595"
216,37160,"35.455761, -86.484563","Shelbyville, Tennessee","26,997"
217,38237,"36.362820, -88.833793","Martin, Tennessee","15,715"
218,37840,"36.068046, -84.411074","Oliver Springs, Tennessee","10,825"
219,37174,"35.719863, -86.898467","Spring Hill, Tennessee","7,713"
220,37055,"36.077149, -87.442912","Dickson, Tennessee","24,325"
221,37353,"35.124699, -84.982033","Mc Donald, Tennessee","3,931"
222,37650,"36.087629, -82.468565","Erwin, Tennessee","12,502"
223,37398,"35.174413, -86.149098","Winchester, Tennessee","13,892"
224,37179,"35.812192, -86.910297","Thompsons Station, Tennessee","6,464"
225,37762,"36.560646, -84.084837","Jellico, Tennessee","3,476"
226,37355,"35.513102, -86.086055","Manchester, Tennessee","22,301"
227,37752,"36.553211, -83.545062","Harrogate, Tennessee","5,297"
228,38343,"35.831994, -88.928257","Humboldt, Tennessee","16,376"
229,37807,"36.251202, -83.832611","Maynardville, Tennessee","9,517"
230,37876,"35.859133, -83.478278","Sevierville, Tennessee","19,700"
231,37015,"36.298099, -87.069313","Ashland City, Tennessee","16,600"
232,37143,"36.143320, -87.040249","Pegram, Tennessee","4,333"
233,38019,"35.555600, -89.615647","Covington, Tennessee","15,728"
234,37656,"36.401300, -82.630518","Fall Branch, Tennessee","3,667"
235,37641,"36.224742, -82.679165","Chuckey, Tennessee","7,090"
236,37035,"36.387654, -87.126655","Chapmansboro, Tennessee","2,981"
237,38242,"36.306931, -88.337585","Paris, Tennessee","18,894"
238,37743,"36.070523, -82.834302","Greeneville, Tennessee","23,972"
239,38362,"35.728541, -88.788855","Oakfield, Tennessee",813
240,37820,"36.085171, -83.566057","New Market, Tennessee","6,499"
241,37616,"36.222507, -82.751600","Afton, Tennessee","4,286"
242,38555,"35.915879, -85.085268","Crossville, Tennessee","32,237"
